,archor,url
197,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
198,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
199,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
200,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
201,翟明睿,http://cc.nankai.edu.cn/2022/0602/c13507a455836/page.htm
202,沈宝庆,http://cc.nankai.edu.cn/2022/0602/c13508a455801/page.htm
203,袁晓洁,http://cc.nankai.edu.cn/2022/0602/c13509a455825/page.htm
204,刘晓光,http://cc.nankai.edu.cn/2022/0602/c13510a455829/page.htm
205,张志刚,http://cc.nankai.edu.cn/2022/0602/c13510a455828/page.htm
206,刘哲理,http://cc.nankai.edu.cn/2022/0602/c13510a455827/page.htm
207,沈宝庆,http://cc.nankai.edu.cn/2022/0602/c13510a455826/page.htm
208,学院概况,http://cc.nankai.edu.cn/13256/list.htm
209,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
210,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
211,组织结构,http://cc.nankai.edu.cn/13280/list.htm
212,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
213,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
214,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
215,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
216,学科结构,http://cc.nankai.edu.cn/13262/list.htm
217,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
218,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
219,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
220,讲师,http://cc.nankai.edu.cn/js/list.htm
221,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
222,博士后,http://cc.nankai.edu.cn/bsh/list.htm
223,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
224,本科教育,http://cc.nankai.edu.cn/13272/list.htm
225,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
226,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
227,博士生导师,http://cc.nankai.edu.cn/bssds/list.htm
228,系所中心,http://cc.nankai.edu.cn/13280/list.htm
229,学术团队,http://cc.nankai.edu.cn/13281/list.htm
230,合作院校分布,http://cc.nankai.edu.cn/13289/list.htm
231,联合培养项目,http://cc.nankai.edu.cn/13290/list.htm
232,最新动态,http://cc.nankai.edu.cn/13291/list.htm
233,学院公告,http://cc.nankai.edu.cn/13292/list.htm
234,学生工作通知,http://cc.nankai.edu.cn/13293/list.htm
235,科研信息,http://cc.nankai.edu.cn/13294/list.htm
236,本科生教学,http://cc.nankai.edu.cn/13295/list.htm
237,党团园地,http://cc.nankai.edu.cn/13296/list.htm
238,研究生招生,http://cc.nankai.edu.cn/13297/list.htm
239,研究生教学,http://cc.nankai.edu.cn/13298/list.htm
240,就业信息,http://cc.nankai.edu.cn/13299/list.htm
241,机构设置,http://cc.nankai.edu.cn/xyzsbgs/list.htm
242,院长信箱,http://cc.nankai.edu.cn/13301/list.htm
243,学院概况,http://cc.nankai.edu.cn/13256/list.htm
244,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
245,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
246,组织结构,http://cc.nankai.edu.cn/13280/list.htm
247,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
248,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
249,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
250,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
251,翟明睿,http://cc.nankai.edu.cn/2022/0602/c15394a455830/page.htm
252,沈宝庆,http://cc.nankai.edu.cn/2022/0602/c15395a455831/page.htm
253,张志刚,http://cc.nankai.edu.cn/2022/0602/c15396a455834/page.htm
254,刘哲理,http://cc.nankai.edu.cn/2022/0602/c15396a455833/page.htm
255,卫金茂,http://cc.nankai.edu.cn/2022/0602/c15396a455832/page.htm
256,学院概况,http://cc.nankai.edu.cn/13256/list.htm
257,学院领导,http://cc.nankai.edu.cn/xxld/list.htm
258,学院党委,http://cc.nankai.edu.cn/xydw/list.htm
259,组织结构,http://cc.nankai.edu.cn/13280/list.htm
260,学科学术分委会,http://cc.nankai.edu.cn/xkxsfwh/list.htm
261,学位评定分委会,http://cc.nankai.edu.cn/xwpdfwh/list.htm
262,教代会、工会委员会,http://cc.nankai.edu.cn/jdhwghwyh/list.htm
263,专业技术职务评审分委员会,http://cc.nankai.edu.cn/zyjszwpsfwh/list.htm
264,学科结构,http://cc.nankai.edu.cn/13262/list.htm
265,计算机科学与技术学科,http://cc.nankai.edu.cn/13263/list.htm
266,教授/研究员,http://cc.nankai.edu.cn/jswyjy/list.htm
267,副教授/副研究员,http://cc.nankai.edu.cn/fjswfyjy/list.htm
268,讲师,http://cc.nankai.edu.cn/js/list.htm
269,实验教学队伍,http://cc.nankai.edu.cn/syjxdw/list.htm
270,博士后,http://cc.nankai.edu.cn/bsh/list.htm
271,兼职教授,http://cc.nankai.edu.cn/jzjs/list.htm
272,本科教育,http://cc.nankai.edu.cn/13272/list.htm
273,研究生教育,http://cc.nankai.edu.cn/13273/list.htm
274,硕士生导师,http://cc.nankai.edu.cn/13274/list.htm
